Vendor Location,Participant Category,Year Month, Number of Participants Redeemed , Number Vouchers Redeemed ,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
SACRAMENTO          ,Breastfeeding Mother  ,2018-09,"2,841","11,431","$162,465.56 ",$57.19 ,,,,
SACRAMENTO          ,Breastfeeding Mother  ,2018-10,"2,787","11,122","$158,966.09 ",$57.04 ,,,,
SACRAMENTO          ,Breastfeeding Mother  ,2018-11,"2,767","11,053","$157,852.44 ",$57.05 ,,,,
SACRAMENTO          ,Breastfeeding Mother  ,2018-12,"2,668","10,686","$152,991.73 ",$57.34 ,,,,
SACRAMENTO          ,Child  ,2010-01,"26,359","98,479","$1,218,045.78 ",$46.21 ,,,,
SACRAMENTO          ,Child  ,2010-02,"26,012","97,444","$1,195,258.03 ",$45.95 ,,,,
SACRAMENTO          ,Child  ,2010-03,"26,922","100,598","$1,226,023.87 ",$45.54 ,,,,
SACRAMENTO          ,Child  ,2010-04,"27,138","101,695","$1,233,068.37 ",$45.44 ,,,,
SACRAMENTO          ,Child  ,2010-05,"26,963","100,623","$1,216,111.91 ",$45.10 ,,,,
SACRAMENTO          ,Child  ,2010-06,"26,864","100,532","$1,211,756.74 ",$45.11 ,,,,
SACRAMENTO          ,Child  ,2010-07,"26,721","99,674","$1,203,199.59 ",$45.03 ,,,,
SACRAMENTO          ,Child  ,2010-08,"27,072","101,305","$1,225,902.72 ",$45.28 ,,,,
SACRAMENTO          ,Child  ,2010-09,"27,022","101,129","$1,226,567.59 ",$45.39 ,,,,
SACRAMENTO          ,Child  ,2010-10,"26,475","98,554","$1,203,172.32 ",$45.45 ,,,,
SACRAMENTO          ,Child  ,2010-11,"26,245","97,768","$1,191,514.76 ",$45.40 ,,,,
SACRAMENTO          ,Child  ,2010-12,"26,003","96,945","$1,163,845.31 ",$44.76 ,,,,
SACRAMENTO          ,Child  ,2011-01,"26,401","98,385","$1,180,335.44 ",$44.71 ,,,,
SACRAMENTO          ,Child  ,2011-02,"25,647","96,117","$1,159,044.18 ",$45.19 ,,,,
SACRAMENTO          ,Child  ,2011-03,"26,137","97,447","$1,193,244.54 ",$45.65 ,,,,
SACRAMENTO          ,Child  ,2011-04,"26,570","99,518","$1,235,907.17 ",$46.52 ,,,,
SACRAMENTO          ,Child  ,2011-05,"26,955","100,806","$1,256,347.16 ",$46.61 ,,,,
SACRAMENTO          ,Child  ,2011-06,"27,296","102,130","$1,287,119.13 ",$47.15 ,,,,
SACRAMENTO          ,Child  ,2011-07,"27,708","102,198","$1,299,272.75 ",$46.89 ,,,,
SACRAMENTO          ,Child  ,2011-08,"27,962","104,078","$1,334,583.82 ",$47.73 ,,,,
SACRAMENTO          ,Child  ,2011-09,"27,527","102,754","$1,328,523.28 ",$48.26 ,,,,
SACRAMENTO          ,Child  ,2011-10,"27,289","101,210","$1,305,711.58 ",$47.85 ,,,,
SACRAMENTO          ,Child  ,2011-11,"27,211","100,936","$1,299,502.57 ",$47.76 ,,,,
SACRAMENTO          ,Child  ,2011-12,"27,011","100,438","$1,294,037.71 ",$47.91 ,,,,
SACRAMENTO          ,Child  ,2012-01,"27,832","103,902","$1,338,021.81 ",$48.07 ,,,,
SACRAMENTO          ,Child  ,2012-02,"26,605","99,396","$1,276,183.38 ",$47.97 ,,,,
SACRAMENTO          ,Child  ,2012-03,"27,032","100,818","$1,294,013.06 ",$47.87 ,,,,
SACRAMENTO          ,Child  ,2012-04,"27,317","102,226","$1,305,502.09 ",$47.79 ,,,,
SACRAMENTO          ,Child  ,2012-05,"27,778","103,467","$1,283,774.96 ",$46.22 ,,,,
SACRAMENTO          ,Child  ,2012-06,"28,015","104,852","$1,267,206.59 ",$45.23 ,,,,
SACRAMENTO          ,Child  ,2012-07,"28,082","105,292","$1,276,547.04 ",$45.46 ,,,,
SACRAMENTO          ,Child  ,2012-08,"28,412","106,167","$1,287,686.33 ",$45.32 ,,,,
SACRAMENTO          ,Child  ,2012-09,"27,845","104,207","$1,268,272.04 ",$45.55 ,,,,
SACRAMENTO          ,Child  ,2012-10,"27,665","102,899","$1,261,538.88 ",$45.60 ,,,,
SACRAMENTO          ,Child  ,2012-11,"27,463","101,891","$1,263,678.08 ",$46.01 ,,,,
SACRAMENTO          ,Child  ,2012-12,"27,354","101,236","$1,259,539.93 ",$46.05 ,,,,
SACRAMENTO          ,Child  ,2013-01,"28,156","104,324","$1,300,681.17 ",$46.20 ,,,,
SACRAMENTO          ,Child  ,2013-02,"27,487","101,657","$1,266,416.24 ",$46.07 ,,,,
SACRAMENTO          ,Child  ,2013-03,"27,317","100,933","$1,256,175.80 ",$45.99 ,,,,
SACRAMENTO          ,Child  ,2013-04,"27,867","103,268","$1,277,247.09 ",$45.83 ,,,,
SACRAMENTO          ,Child  ,2013-05,"27,842","103,122","$1,269,792.45 ",$45.61 ,,,,
SACRAMENTO          ,Child  ,2013-06,"27,741","103,210","$1,265,221.65 ",$45.61 ,,,,
SACRAMENTO          ,Child  ,2013-07,"28,344","105,623","$1,296,162.45 ",$45.73 ,,,,
SACRAMENTO          ,Child  ,2013-08,"28,454","105,967","$1,298,718.69 ",$45.64 ,,,,
SACRAMENTO          ,Child  ,2013-09,"27,923","104,143","$1,277,109.39 ",$45.74 ,,,,
SACRAMENTO          ,Child  ,2013-10,"27,182","100,572","$1,235,210.28 ",$45.44 ,,,,
SACRAMENTO          ,Child  ,2013-11,"25,928","96,313","$1,185,481.34 ",$45.72 ,,,,
SACRAMENTO          ,Child  ,2013-12,"25,938","96,058","$1,189,045.07 ",$45.84 ,,,,
SACRAMENTO          ,Child  ,2014-01,"27,192","101,120","$1,255,781.57 ",$46.18 ,,,,
SACRAMENTO          ,Child  ,2014-02,"25,448","94,730","$1,185,891.47 ",$46.60 ,,,,
SACRAMENTO          ,Child  ,2014-03,"25,668","95,720","$1,208,254.24 ",$47.07 ,,,,
SACRAMENTO          ,Child  ,2014-04,"26,497","98,600","$1,247,800.60 ",$47.09 ,,,,
SACRAMENTO          ,Child  ,2014-05,"26,170","97,659","$1,238,349.02 ",$47.32 ,,,,
SACRAMENTO          ,Child  ,2014-06,"26,106","97,744","$1,263,129.88 ",$48.38 ,,,,
SACRAMENTO          ,Child  ,2014-07,"26,736","99,877","$1,306,689.68 ",$48.87 ,,,,
SACRAMENTO          ,Child  ,2014-08,"26,235","98,219","$1,295,160.99 ",$49.37 ,,,,
SACRAMENTO          ,Child  ,2014-09,"26,354","98,505","$1,303,514.92 ",$49.46 ,,,,
SACRAMENTO          ,Child  ,2014-10,"26,155","96,807","$1,280,770.51 ",$48.97 ,,,,
SACRAMENTO          ,Child  ,2014-11,"24,804","91,887","$1,216,872.78 ",$49.06 ,,,,
SACRAMENTO          ,Child  ,2014-12,"24,812","91,713","$1,221,465.60 ",$49.23 ,,,,
SACRAMENTO          ,Child  ,2015-01,"25,139","93,075","$1,241,755.59 ",$49.40 ,,,,
SACRAMENTO          ,Child  ,2015-02,"23,998","88,844","$1,183,771.75 ",$49.33 ,,,,
SACRAMENTO          ,Child  ,2015-03,"24,485","90,542","$1,182,202.91 ",$48.28 ,,,,
SACRAMENTO          ,Child  ,2015-04,"24,699","91,674","$1,192,352.59 ",$48.28 ,,,,
SACRAMENTO          ,Child  ,2015-05,"24,286","89,781","$1,162,393.85 ",$47.86 ,,,,
SACRAMENTO          ,Child  ,2015-06,"24,244","90,279","$1,172,802.83 ",$48.37 ,,,,
SACRAMENTO          ,Child  ,2015-07,"24,638","91,438","$1,184,750.78 ",$48.09 ,,,,
SACRAMENTO          ,Child  ,2015-08,"24,589","91,538","$1,187,278.94 ",$48.28 ,,,,
SACRAMENTO          ,Child  ,2015-09,"24,889","92,509","$1,200,036.38 ",$48.22 ,,,,
SACRAMENTO          ,Child  ,2015-10,"24,651","90,576","$1,171,698.00 ",$47.53 ,,,,
SACRAMENTO          ,Child  ,2015-11,"23,938","88,302","$1,142,632.63 ",$47.73 ,,,,
SACRAMENTO          ,Child  ,2015-12,"23,903","88,354","$1,135,433.30 ",$47.50 ,,,,
SACRAMENTO          ,Child  ,2016-01,"24,359","90,047","$1,155,092.18 ",$47.42 ,,,,
SACRAMENTO          ,Child  ,2016-02,"23,503","86,586","$1,104,983.81 ",$47.01 ,,,,
SACRAMENTO          ,Child  ,2016-03,"23,543","86,241","$1,096,725.59 ",$46.58 ,,,,
SACRAMENTO          ,Child  ,2016-04,"23,810","88,043","$1,137,934.96 ",$47.79 ,,,,
SACRAMENTO          ,Child  ,2016-05,"23,455","86,248","$1,094,985.94 ",$46.68 ,,,,
SACRAMENTO          ,Child  ,2016-06,"23,166","85,865","$1,082,559.73 ",$46.73 ,,,,
SACRAMENTO          ,Child  ,2016-07,"22,796","84,731","$1,066,194.96 ",$46.77 ,,,,
SACRAMENTO          ,Child  ,2016-08,"23,771","88,234","$1,110,252.27 ",$46.71 ,,,,
SACRAMENTO          ,Child  ,2016-09,"23,417","86,908","$1,093,072.47 ",$46.68 ,,,,
SACRAMENTO          ,Child  ,2016-10,"22,692","83,883","$1,055,109.44 ",$46.50 ,,,,
SACRAMENTO          ,Child  ,2016-11,"22,513","83,253","$1,052,460.02 ",$46.75 ,,,,
SACRAMENTO          ,Child  ,2016-12,"22,103","81,756","$1,038,430.87 ",$46.98 ,,,,
SACRAMENTO          ,Child  ,2017-01,"22,820","85,030","$1,080,407.72 ",$47.34 ,,,,
SACRAMENTO          ,Child  ,2017-02,"21,748","80,879","$1,032,139.51 ",$47.46 ,,,,
SACRAMENTO          ,Child  ,2017-03,"22,147","82,075","$1,047,963.99 ",$47.32 ,,,,
SACRAMENTO          ,Child  ,2017-04,"21,914","81,462","$1,038,673.00 ",$47.40 ,,,,
SACRAMENTO          ,Child  ,2017-05,"22,174","82,008","$1,039,802.58 ",$46.89 ,,,,
SACRAMENTO          ,Child  ,2017-06,"22,246","82,539","$1,045,134.18 ",$46.98 ,,,,
SACRAMENTO          ,Child  ,2017-07,"22,202","82,720","$1,044,348.94 ",$47.04 ,,,,
SACRAMENTO          ,Child  ,2017-08,"22,627","84,098","$1,061,867.40 ",$46.93 ,,,,
SACRAMENTO          ,Child  ,2017-09,"22,462","83,775","$1,056,796.09 ",$47.05 ,,,,
SACRAMENTO          ,Child  ,2017-10,"22,087","82,020","$1,035,177.81 ",$46.87 ,,,,
SACRAMENTO          ,Child  ,2017-11,"21,758","80,962","$1,026,377.29 ",$47.17 ,,,,
SACRAMENTO          ,Child  ,2017-12,"21,107","78,535","$994,523.58 ",$47.12 ,,,,
SACRAMENTO          ,Child  ,2018-01,"22,118","82,513","$1,045,660.08 ",$47.28 ,,,,
SACRAMENTO          ,Child  ,2018-02,"21,189","78,534","$996,656.24 ",$47.04 ,,,,
SACRAMENTO          ,Child  ,2018-03,"21,078","78,013","$991,665.85 ",$47.05 ,,,,
SACRAMENTO          ,Child  ,2018-04,"21,034","78,722","$1,004,050.90 ",$47.73 ,,,,
SACRAMENTO          ,Child  ,2018-05,"21,316","79,022","$1,006,761.13 ",$47.23 ,,,,
SACRAMENTO          ,Child  ,2018-06,"20,897","78,224","$992,801.47 ",$47.51 ,,,,
SACRAMENTO          ,Child  ,2018-07,"21,030","78,933","$1,002,141.42 ",$47.65 ,,,,
SACRAMENTO          ,Child  ,2018-08,"21,355","79,616","$1,007,846.99 ",$47.19 ,,,,
SACRAMENTO          ,Child  ,2018-09,"20,871","78,047","$988,013.22 ",$47.34 ,,,,
SACRAMENTO          ,Child  ,2018-10,"20,779","77,361","$984,574.17 ",$47.38 ,,,,
SACRAMENTO          ,Child  ,2018-11,"20,456","76,420","$979,379.08 ",$47.88 ,,,,
SACRAMENTO          ,Child  ,2018-12,"19,551","72,853","$938,219.89 ",$47.99 ,,,,
SACRAMENTO          ,Infant  ,2010-01,"9,218","35,896","$1,164,310.03 ",$126.31 ,,,,
SACRAMENTO          ,Infant  ,2010-02,"9,049","35,429","$1,143,487.27 ",$126.37 ,,,,
SACRAMENTO          ,Infant  ,2010-03,"9,289","36,558","$1,170,714.85 ",$126.03 ,,,,
SACRAMENTO          ,Infant  ,2010-04,"9,296","30,240","$1,179,345.89 ",$126.87 ,,,,
SACRAMENTO          ,Infant  ,2010-05,"9,180","25,880","$1,173,489.00 ",$127.83 ,,,,
SACRAMENTO          ,Infant  ,2010-06,"9,166","24,082","$1,173,867.63 ",$128.07 ,,,,
SACRAMENTO          ,Infant  ,2010-07,"9,054","24,326","$1,152,983.97 ",$127.35 ,,,,
SACRAMENTO          ,Infant  ,2010-08,"9,044","24,889","$1,155,770.23 ",$127.79 ,,,,
SACRAMENTO          ,Infant  ,2010-09,"9,044","25,109","$1,152,772.91 ",$127.46 ,,,,
SACRAMENTO          ,Infant  ,2010-10,"8,808","24,299","$1,131,749.07 ",$128.49 ,,,,
SACRAMENTO          ,Infant  ,2010-11,"8,736","24,309","$1,127,963.03 ",$129.12 ,,,,
SACRAMENTO          ,Infant  ,2010-12,"8,714","24,150","$1,112,743.16 ",$127.70 ,,,,
SACRAMENTO          ,Infant  ,2011-01,"8,868","24,524","$1,123,280.57 ",$126.67 ,,,,
SACRAMENTO          ,Infant  ,2011-02,"8,826","24,672","$1,114,455.06 ",$126.27 ,,,,
SACRAMENTO          ,Infant  ,2011-03,"9,056","25,310","$1,139,059.69 ",$125.78 ,,,,
SACRAMENTO          ,Infant  ,2011-04,"9,139","25,736","$1,156,660.42 ",$126.56 ,,,,
SACRAMENTO          ,Infant  ,2011-05,"9,117","25,794","$1,160,785.98 ",$127.32 ,,,,
SACRAMENTO          ,Infant  ,2011-06,"9,269","26,113","$1,179,402.26 ",$127.24 ,,,,
SACRAMENTO          ,Infant  ,2011-07,"9,395","26,346","$1,186,370.29 ",$126.28 ,,,,
SACRAMENTO          ,Infant  ,2011-08,"9,512","26,391","$1,223,378.28 ",$128.61 ,,,,
SACRAMENTO          ,Infant  ,2011-09,"9,387","26,097","$1,229,183.71 ",$130.95 ,,,,
SACRAMENTO          ,Infant  ,2011-10,"9,274","25,705","$1,202,730.54 ",$129.69 ,,,,
SACRAMENTO          ,Infant  ,2011-11,"9,215","25,641","$1,186,517.33 ",$128.76 ,,,,
SACRAMENTO          ,Infant  ,2011-12,"9,112","25,216","$1,178,172.93 ",$129.30 ,,,,
SACRAMENTO          ,Infant  ,2012-01,"9,330","26,155","$1,212,745.42 ",$129.98 ,,,,
SACRAMENTO          ,Infant  ,2012-02,"8,987","25,150","$1,176,842.93 ",$130.95 ,,,,
SACRAMENTO          ,Infant  ,2012-03,"9,105","25,642","$1,189,225.62 ",$130.61 ,,,,
SACRAMENTO          ,Infant  ,2012-04,"9,167","26,084","$1,189,784.02 ",$129.79 ,,,,
SACRAMENTO          ,Infant  ,2012-05,"9,224","25,880","$1,175,014.92 ",$127.39 ,,,,
SACRAMENTO          ,Infant  ,2012-06,"9,169","25,843","$1,133,029.91 ",$123.57 ,,,,
SACRAMENTO          ,Infant  ,2012-07,"9,077","25,450","$1,137,283.42 ",$125.29 ,,,,
SACRAMENTO          ,Infant  ,2012-08,"9,018","25,120","$1,137,581.59 ",$126.15 ,,,,
SACRAMENTO          ,Infant  ,2012-09,"8,912","24,883","$1,121,911.04 ",$125.89 ,,,,
SACRAMENTO          ,Infant  ,2012-10,"8,963","24,494","$1,123,996.02 ",$125.40 ,,,,
SACRAMENTO          ,Infant  ,2012-11,"8,941","24,410","$1,133,524.48 ",$126.78 ,,,,
SACRAMENTO          ,Infant  ,2012-12,"8,912","24,069","$1,128,659.21 ",$126.64 ,,,,
SACRAMENTO          ,Infant  ,2013-01,"9,126","24,659","$1,165,919.52 ",$127.76 ,,,,
SACRAMENTO          ,Infant  ,2013-02,"9,061","24,903","$1,153,363.18 ",$127.29 ,,,,
SACRAMENTO          ,Infant  ,2013-03,"9,033","24,984","$1,150,729.08 ",$127.39 ,,,,
SACRAMENTO          ,Infant  ,2013-04,"9,146","25,511","$1,166,649.40 ",$127.56 ,,,,
SACRAMENTO          ,Infant  ,2013-05,"9,105","25,306","$1,163,411.57 ",$127.78 ,,,,
SACRAMENTO          ,Infant  ,2013-06,"9,029","25,306","$1,164,188.14 ",$128.94 ,,,,
SACRAMENTO          ,Infant  ,2013-07,"9,158","25,469","$1,175,429.82 ",$128.35 ,,,,
SACRAMENTO          ,Infant  ,2013-08,"9,016","24,811","$1,165,447.09 ",$129.26 ,,,,
SACRAMENTO          ,Infant  ,2013-09,"8,927","24,777","$1,160,828.24 ",$130.04 ,,,,
SACRAMENTO          ,Infant  ,2013-10,"8,795","23,887","$1,148,243.11 ",$130.56 ,,,,
SACRAMENTO          ,Infant  ,2013-11,"8,546","23,275","$1,116,784.49 ",$130.68 ,,,,
SACRAMENTO          ,Infant  ,2013-12,"8,630","23,213","$1,121,640.23 ",$129.97 ,,,,
SACRAMENTO          ,Infant  ,2014-01,"8,914","24,323","$1,163,130.04 ",$130.48 ,,,,
SACRAMENTO          ,Infant  ,2014-02,"8,668","23,926","$1,138,680.63 ",$131.37 ,,,,
SACRAMENTO          ,Infant  ,2014-03,"8,828","24,405","$1,150,194.78 ",$130.29 ,,,,
SACRAMENTO          ,Infant  ,2014-04,"8,869","24,748","$1,163,908.32 ",$131.23 ,,,,
SACRAMENTO          ,Infant  ,2014-05,"8,822","24,751","$1,156,075.10 ",$131.04 ,,,,
SACRAMENTO          ,Infant  ,2014-06,"8,791","24,619","$1,140,139.92 ",$129.69 ,,,,
SACRAMENTO          ,Infant  ,2014-07,"8,842","24,771","$1,150,162.68 ",$130.08 ,,,,
SACRAMENTO          ,Infant  ,2014-08,"8,717","24,289","$1,135,343.38 ",$130.24 ,,,,
SACRAMENTO          ,Infant  ,2014-09,"8,787","24,241","$1,147,605.90 ",$130.60 ,,,,
SACRAMENTO          ,Infant  ,2014-10,"8,756","23,805","$1,148,365.64 ",$131.15 ,,,,
SACRAMENTO          ,Infant  ,2014-11,"8,459","23,050","$1,119,294.16 ",$132.32 ,,,,
SACRAMENTO          ,Infant  ,2014-12,"8,384","22,633","$1,111,024.55 ",$132.52 ,,,,
SACRAMENTO          ,Infant  ,2015-01,"8,589","23,354","$1,131,680.30 ",$131.76 ,,,,
SACRAMENTO          ,Infant  ,2015-02,"8,386","23,186","$1,099,360.49 ",$131.09 ,,,,
SACRAMENTO          ,Infant  ,2015-03,"8,490","23,426","$1,108,409.73 ",$130.55 ,,,,
SACRAMENTO          ,Infant  ,2015-04,"8,552","23,749","$1,113,961.78 ",$130.26 ,,,,
SACRAMENTO          ,Infant  ,2015-05,"8,402","23,311","$1,094,794.45 ",$130.30 ,,,,
SACRAMENTO          ,Infant  ,2015-06,"8,460","23,427","$1,097,718.05 ",$129.75 ,,,,
SACRAMENTO          ,Infant  ,2015-07,"8,534","23,555","$1,107,023.49 ",$129.72 ,,,,
SACRAMENTO          ,Infant  ,2015-08,"8,367","22,831","$1,089,298.82 ",$130.19 ,,,,
SACRAMENTO          ,Infant  ,2015-09,"8,368","22,714","$1,093,906.66 ",$130.72 ,,,,
SACRAMENTO          ,Infant  ,2015-10,"8,287","22,296","$1,085,025.56 ",$130.93 ,,,,
SACRAMENTO          ,Infant  ,2015-11,"8,126","21,801","$1,066,182.07 ",$131.21 ,,,,
SACRAMENTO          ,Infant  ,2015-12,"8,014","21,374","$1,052,155.49 ",$131.29 ,,,,
SACRAMENTO          ,Infant  ,2016-01,"8,191","22,092","$1,069,597.43 ",$130.58 ,,,,
SACRAMENTO          ,Infant  ,2016-02,"8,139","22,096","$1,059,870.06 ",$130.22 ,,,,
SACRAMENTO          ,Infant  ,2016-03,"8,244","22,428","$1,079,844.26 ",$130.99 ,,,,
SACRAMENTO          ,Infant  ,2016-04,"8,322","23,148","$1,071,290.19 ",$128.73 ,,,,
SACRAMENTO          ,Infant  ,2016-05,"8,162","22,732","$1,059,301.21 ",$129.78 ,,,,
SACRAMENTO          ,Infant  ,2016-06,"8,239","23,110","$1,060,310.12 ",$128.69 ,,,,
SACRAMENTO          ,Infant  ,2016-07,"8,131","22,647","$1,041,159.41 ",$128.05 ,,,,
SACRAMENTO          ,Infant  ,2016-08,"8,214","22,823","$1,059,103.04 ",$128.94 ,,,,
SACRAMENTO          ,Infant  ,2016-09,"8,142","22,546","$1,050,922.92 ",$129.07 ,,,,
SACRAMENTO          ,Infant  ,2016-10,"7,947","21,711","$1,026,797.18 ",$129.21 ,,,,
SACRAMENTO          ,Infant  ,2016-11,"7,926","21,636","$1,036,213.38 ",$130.74 ,,,,
SACRAMENTO          ,Infant  ,2016-12,"7,839","21,340","$1,023,212.36 ",$130.53 ,,,,
SACRAMENTO          ,Infant  ,2017-01,"7,978","22,082","$1,048,641.00 ",$131.44 ,,,,
SACRAMENTO          ,Infant  ,2017-02,"7,757","21,600","$1,011,231.74 ",$130.36 ,,,,
SACRAMENTO          ,Infant  ,2017-03,"7,879","21,912","$1,028,287.37 ",$130.51 ,,,,
SACRAMENTO          ,Infant  ,2017-04,"7,893","22,266","$1,041,879.30 ",$132.00 ,,,,
SACRAMENTO          ,Infant  ,2017-05,"7,920","22,191","$1,047,623.37 ",$132.28 ,,,,
SACRAMENTO          ,Infant  ,2017-06,"7,820","22,023","$1,035,648.86 ",$132.44 ,,,,
SACRAMENTO          ,Infant  ,2017-07,"7,730","21,752","$1,023,987.49 ",$132.47 ,,,,
SACRAMENTO          ,Infant  ,2017-08,"7,802","21,422","$1,033,465.26 ",$132.46 ,,,,
SACRAMENTO          ,Infant  ,2017-09,"7,660","21,015","$1,021,260.02 ",$133.32 ,,,,
SACRAMENTO          ,Infant  ,2017-10,"7,619","20,590","$1,011,965.73 ",$132.82 ,,,,
SACRAMENTO          ,Infant  ,2017-11,"7,547","20,205","$1,013,748.16 ",$134.32 ,,,,
SACRAMENTO          ,Infant  ,2017-12,"7,499","20,215","$1,001,635.56 ",$133.57 ,,,,
SACRAMENTO          ,Infant  ,2018-01,"7,846","21,350","$1,050,502.14 ",$133.89 ,,,,
SACRAMENTO          ,Infant  ,2018-02,"7,615","20,893","$1,020,425.10 ",$134.00 ,,,,
SACRAMENTO          ,Infant  ,2018-03,"7,612","21,009","$1,019,442.31 ",$133.93 ,,,,
SACRAMENTO          ,Infant  ,2018-04,"7,582","20,974","$1,015,235.90 ",$133.90 ,,,,
SACRAMENTO          ,Infant  ,2018-05,"7,608","20,949","$1,017,533.91 ",$133.75 ,,,,
SACRAMENTO          ,Infant  ,2018-06,"7,465","20,840","$1,013,320.32 ",$135.74 ,,,,
SACRAMENTO          ,Infant  ,2018-07,"7,476","20,566","$1,004,851.85 ",$134.41 ,,,,
SACRAMENTO          ,Infant  ,2018-08,"7,514","20,337","$1,015,086.34 ",$135.09 ,,,,
SACRAMENTO          ,Infant  ,2018-09,"7,397","20,231","$1,006,169.04 ",$136.02 ,,,,
SACRAMENTO          ,Infant  ,2018-10,"7,447","20,048","$1,020,843.55 ",$137.08 ,,,,
SACRAMENTO          ,Infant  ,2018-11,"7,233","19,600","$1,003,769.39 ",$138.78 ,,,,
SACRAMENTO          ,Infant  ,2018-12,"7,027","18,920","$972,724.68 ",$138.43 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-01,"3,008","8,162","$116,002.20 ",$38.56 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-02,"2,859","7,822","$111,017.58 ",$38.83 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-03,"2,883","7,804","$109,610.00 ",$38.02 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-04,"2,835","7,718","$107,402.43 ",$37.88 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-05,"2,786","7,615","$105,546.11 ",$37.88 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-06,"2,825","7,705","$107,015.61 ",$37.88 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-07,"2,829","7,668","$106,883.76 ",$37.78 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-08,"2,835","7,713","$107,248.99 ",$37.83 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-09,"2,846","7,806","$108,660.82 ",$38.18 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-10,"2,779","7,504","$105,388.34 ",$37.92 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-11,"2,826","7,654","$106,819.39 ",$37.80 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2010-12,"2,765","7,525","$102,604.28 ",$37.11 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-01,"2,869","7,808","$106,183.52 ",$37.01 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-02,"2,828","7,732","$106,019.36 ",$37.49 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-03,"2,852","7,737","$108,193.50 ",$37.94 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-04,"2,891","7,920","$111,803.02 ",$38.67 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-05,"2,841","7,775","$110,556.88 ",$38.91 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-06,"2,804","7,674","$110,195.76 ",$39.30 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-07,"2,860","7,787","$112,524.10 ",$39.34 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-08,"2,866","7,778","$113,479.89 ",$39.60 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-09,"2,898","7,897","$115,691.84 ",$39.92 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-10,"2,838","7,656","$111,978.97 ",$39.46 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-11,"2,876","7,738","$113,015.55 ",$39.30 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2011-12,"2,800","7,603","$111,733.10 ",$39.90 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-01,"2,927","7,969","$116,900.84 ",$39.94 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-02,"2,854","7,737","$113,138.61 ",$39.64 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-03,"2,838","7,674","$112,496.53 ",$39.64 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-04,"2,838","7,733","$112,900.47 ",$39.78 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-05,"2,824","7,728","$110,080.56 ",$38.98 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-06,"2,822","7,743","$107,663.87 ",$38.15 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-07,"2,812","7,712","$107,180.86 ",$38.12 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-08,"2,855","7,828","$109,388.20 ",$38.31 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-09,"2,764","7,578","$105,938.09 ",$38.33 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-10,"2,700","7,347","$104,151.42 ",$38.57 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-11,"2,783","7,526","$108,311.90 ",$38.92 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2012-12,"2,748","7,398","$106,601.30 ",$38.79 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2013-01,"2,815","7,668","$110,986.49 ",$39.43 ,,,,
SACRAMENTO          ,Non-Breastfeeding Mother  ,2013-02,"2,726","7,445","$107,448.81 ",$39.42 ,,,,
